gene,pLI
AAK1,1.00000
ABCA2,1.00000
ACACA,1.00000
ACAN,1.00000
ACTN4,1.00000
ADAM10,1.00000
ADAMTS6,1.00000
ADNP,1.00000
AFF4,1.00000
AGO1,1.00000
AGO2,1.00000
AGPS,1.00000
AHCTF1,1.00000
AHDC1,1.00000
AMBRA1,1.00000
ANK1,1.00000
ANK2,1.00000
ANK3,1.00000
ANKHD1,1.00000
ANKHD1-EIF4EBP3,1.00000
ANKRD11,1.00000
ANKRD12,1.00000
ANKRD17,1.00000
ANKRD28,1.00000
ANKRD52,1.00000
AP1G1,1.00000
AP2A1,1.00000
AP2A2,1.00000
APC,1.00000
AQR,1.00000
ARFGEF1,1.00000
ARHGAP21,1.00000
ARHGAP35,1.00000
ARHGEF11,1.00000
ARHGEF12,1.00000
ARHGEF2,1.00000
ARID1A,1.00000
ARID1B,1.00000
ARID2,1.00000
ARID4A,1.00000
ARID4B,1.00000
ARID5B,1.00000
ASAP1,1.00000
ASH1L,1.00000
ASXL2,1.00000
ASXL3,1.00000
ATAD2B,1.00000
ATAD5,1.00000
ATP1A1,1.00000
ATP1A3,1.00000
ATP2B1,1.00000
ATP2B2,1.00000
ATP2C1,1.00000
ATRN,1.00000
ATRX,1.00000
ATXN2L,1.00000
BAI1,1.00000
BAI3,1.00000
BAZ1A,1.00000
BAZ1B,1.00000
BAZ2A,1.00000
BCOR,1.00000
BIRC6,1.00000
BPTF,1.00000
BRD4,1.00000
BRWD1,1.00000
BRWD3,1.00000
BSN,1.00000
BTAF1,1.00000
C11orf30,1.00000
C17orf104,1.00000
CACNA1A,1.00000
CACNA1C,1.00000
CACNA1D,1.00000
CACNA1E,1.00000
CACNA1G,1.00000
CACNA1I,1.00000
CAMSAP2,1.00000
CAMSAP3,1.00000
CAMTA1,1.00000
CAND1,1.00000
CASK,1.00000
CASZ1,1.00000
CCDC88A,1.00000
CDC42BPB,1.00000
CDC5L,1.00000
CDK12,1.00000
CECR2,1.00000
CEP170,1.00000
CEP350,1.00000
CHAF1A,1.00000
CHD1,1.00000
CHD2,1.00000
CHD3,1.00000
CHD4,1.00000
CHD5,1.00000
CHD6,1.00000
CHD7,1.00000
CHD8,1.00000
CHD9,1.00000
CHERP,1.00000
CKAP5,1.00000
CLASP1,1.00000
CLASP2,1.00000
CLTC,1.00000
CNOT1,1.00000
CNOT3,1.00000
COL11A1,1.00000
COL1A1,1.00000
COL1A2,1.00000
COL2A1,1.00000
COL3A1,1.00000
COL4A1,1.00000
COL4A5,1.00000
COL5A1,1.00000
COL5A2,1.00000
COPA,1.00000
COPB2,1.00000
CREBBP,1.00000
CSE1L,1.00000
CSMD1,1.00000
CTNND2,1.00000
CTR9,1.00000
CUL1,1.00000
CUL2,1.00000
CUL4B,1.00000
CUL5,1.00000
CUX1,1.00000
CUX2,1.00000
CYFIP2,1.00000
DAAM2,1.00000
DCAF5,1.00000
DDX42,1.00000
DDX46,1.00000
DENND5B,1.00000
DHX15,1.00000
DHX30,1.00000
DHX9,1.00000
DICER1,1.00000
DIDO1,1.00000
DIP2C,1.00000
DMD,1.00000
DMXL1,1.00000
DMXL2,1.00000
DNAJC13,1.00000
DNMT1,1.00000
DOCK3,1.00000
DOCK9,1.00000
DOPEY1,1.00000
DOT1L,1.00000
DSCAM,1.00000
DSCAML1,1.00000
DST,1.00000
DYNC1H1,1.00000
EFTUD2,1.00000
EHMT1,1.00000
EIF3A,1.00000
EIF3B,1.00000
EIF4B,1.00000
EIF4G1,1.00000
EIF4G2,1.00000
EIF4G3,1.00000
ELMSAN1,1.00000
EP300,1.00000
EP400,1.00000
EPC1,1.00000
EPHA4,1.00000
EPHA7,1.00000
ESPL1,1.00000
EZH2,1.00000
F8,1.00000
FAM120A,1.00000
FAM120C,1.00000
FASN,1.00000
FAT4,1.00000
FBN1,1.00000
FBN2,1.00000
FBXO11,1.00000
FGD5,1.00000
FLNA,1.00000
FLT4,1.00000
FNBP4,1.00000
FNDC3B,1.00000
FNIP2,1.00000
FOXP2,1.00000
FRMD4A,1.00000
FRMPD4,1.00000
FRY,1.00000
FUBP1,1.00000
FXR1,1.00000
GAPVD1,1.00000
GCN1L1,1.00000
GGNBP2,1.00000
GIGYF2,1.00000
GLG1,1.00000
GLTSCR1L,1.00000
GPATCH8,1.00000
GREB1L,1.00000
GRID2,1.00000
GRIN2B,1.00000
GSE1,1.00000
GTF3C1,1.00000
GTPBP4,1.00000
HCFC1,1.00000
HDAC4,1.00000
HDAC5,1.00000
HDAC6,1.00000
HDLBP,1.00000
HEATR1,1.00000
HECTD1,1.00000
HECTD4,1.00000
HELZ,1.00000
HERC1,1.00000
HERC2,1.00000
HIPK1,1.00000
HIPK2,1.00000
HIRA,1.00000
HIVEP1,1.00000
HIVEP2,1.00000
HNRNPU,1.00000
HOOK3,1.00000
HTT,1.00000
HUWE1,1.00000
IGF2R,1.00000
ILF3,1.00000
INO80,1.00000
INTS6,1.00000
IPO5,1.00000
IPO7,1.00000
ITPR1,1.00000
ITSN1,1.00000
JAG1,1.00000
JAG2,1.00000
JAKMIP2,1.00000
JARID2,1.00000
JMJD1C,1.00000
KALRN,1.00000
KAT6A,1.00000
KAT6B,1.00000
KDM2A,1.00000
KDM2B,1.00000
KDM3B,1.00000
KDM4A,1.00000
KDM4B,1.00000
KDM5A,1.00000
KDM5C,1.00000
KDM6A,1.00000
KDM6B,1.00000
KHSRP,1.00000
KIAA0368,1.00000
KIAA0430,1.00000
KIAA0947,1.00000
KIAA1244,1.00000
KIAA2018,1.00000
KIF11,1.00000
KIF13A,1.00000
KIF1A,1.00000
KIF1B,1.00000
KIF23,1.00000
KIF5C,1.00000
KMT2A,1.00000
KMT2B,1.00000
KMT2C,1.00000
KMT2D,1.00000
KMT2E,1.00000
KPNB1,1.00000
KSR2,1.00000
L1CAM,1.00000
LAMC1,1.00000
LARP1,1.00000
LPHN1,1.00000
LPHN2,1.00000
LPHN3,1.00000
LRP1,1.00000
LRP2,1.00000
LRRC7,1.00000
MACF1,1.00000
MAP1A,1.00000
MAP1B,1.00000
MAP2,1.00000
MAP3K1,1.00000
MAP3K12,1.00000
MAP3K4,1.00000
MAP4K4,1.00000
MAPK8IP3,1.00000
Mar.06,1.00000
MAST1,1.00000
MATR3,1.00000
MAU2,1.00000
MBD5,1.00000
MBTD1,1.00000
MECOM,1.00000
MED1,1.00000
MED12,1.00000
MED12L,1.00000
MED13,1.00000
MED13L,1.00000
MED14,1.00000
MGA,1.00000
MINK1,1.00000
MLLT10,1.00000
MLLT4,1.00000
MTA1,1.00000
MTOR,1.00000
MUC5B,1.00000
MYBL1,1.00000
MYCBP2,1.00000
MYH10,1.00000
MYH9,1.00000
MYO9B,1.00000
MYRF,1.00000
MYT1L,1.00000
NAA25,1.00000
NAA35,1.00000
NAV1,1.00000
NAV3,1.00000
NBEA,1.00000
NCBP1,1.00000
NCKAP1,1.00000
NCOA2,1.00000
NCOR1,1.00000
NCOR2,1.00000
NEDD4L,1.00000
NFAT5,1.00000
NFKB1,1.00000
NHS,1.00000
NIPBL,1.00000
NOS1,1.00000
NOTCH1,1.00000
NOTCH2,1.00000
NPAS2,1.00000
NPEPPS,1.00000
NRXN3,1.00000
NSD1,1.00000
NTRK2,1.00000
NUMA1,1.00000
NUP153,1.00000
NUP205,1.00000
NUP85,1.00000
NUP98,1.00000
OGT,1.00000
PACS1,1.00000
PAXIP1,1.00000
PBRM1,1.00000
PCF11,1.00000
PCLO,1.00000
PCNX,1.00000
PCNXL3,1.00000
PDGFRA,1.00000
PDS5A,1.00000
PDS5B,1.00000
PHC3,1.00000
PHF12,1.00000
PHF2,1.00000
PHF21A,1.00000
PHIP,1.00000
PIK3CA,1.00000
PITPNM2,1.00000
PKD1,1.00000
PKN2,1.00000
PLCL2,1.00000
PLEKHA5,1.00000
PLXND1,1.00000
POGZ,1.00000
POLA1,1.00000
POLR2A,1.00000
PPFIA1,1.00000
PPFIA2,1.00000
PPFIA3,1.00000
PPP1R10,1.00000
PPP1R12A,1.00000
PPRC1,1.00000
PREX1,1.00000
PRKCB,1.00000
PRKDC,1.00000
PRPF3,1.00000
PRPF4B,1.00000
PRPF8,1.00000
PRR12,1.00000
PRRC2A,1.00000
PRRC2B,1.00000
PRRC2C,1.00000
PSMD1,1.00000
PSMD2,1.00000
PSME4,1.00000
PTCH1,1.00000
PTPRC,1.00000
PTPRD,1.00000
PTPRF,1.00000
PTPRM,1.00000
PTPRS,1.00000
PTPRT,1.00000
PUM1,1.00000
QSER1,1.00000
R3HDM2,1.00000
RABGAP1,1.00000
RAD54L2,1.00000
RAI1,1.00000
RALGAPB,1.00000
RANBP2,1.00000
RANBP9,1.00000
RAPGEF2,1.00000
RASA1,1.00000
RB1,1.00000
RB1CC1,1.00000
RBBP6,1.00000
RBM10,1.00000
RBM25,1.00000
RBM26,1.00000
RBM33,1.00000
RBM5,1.00000
RBM6,1.00000
RC3H2,1.00000
RELN,1.00000
RERE,1.00000
RET,1.00000
REV3L,1.00000
RFX3,1.00000
RFX4,1.00000
RFX7,1.00000
RICTOR,1.00000
RIF1,1.00000
RIMS2,1.00000
RLF,1.00000
RNF17,1.00000
RNF31,1.00000
ROBO2,1.00000
ROCK1,1.00000
ROCK2,1.00000
RP11-1055B8.7,1.00000
RPRD2,1.00000
RPS6KA3,1.00000
RPTOR,1.00000
RREB1,1.00000
RRM1,1.00000
RSF1,1.00000
RTF1,1.00000
SAFB,1.00000
SAP130,1.00000
SBNO1,1.00000
SCAF4,1.00000
SCAF8,1.00000
SCN1A,1.00000
SCN2A,1.00000
SCN3A,1.00000
SCN8A,1.00000
SEC24B,1.00000
SEC24C,1.00000
SEMA4C,1.00000
SETBP1,1.00000
SETD1A,1.00000
SETD1B,1.00000
SETD2,1.00000
SETDB1,1.00000
SF3A3,1.00000
SF3B1,1.00000
SF3B3,1.00000
SHANK1,1.00000
SHANK3,1.00000
SIK3,1.00000
SIN3A,1.00000
SIN3B,1.00000
SIPA1L1,1.00000
SIPA1L3,1.00000
SLC12A5,1.00000
SLIT1,1.00000
SLIT2,1.00000
SMARCA1,1.00000
SMARCA2,1.00000
SMARCA4,1.00000
SMARCA5,1.00000
SMARCAD1,1.00000
SMARCC1,1.00000
SMARCC2,1.00000
SMC1A,1.00000
SMC3,1.00000
SMCHD1,1.00000
SMG1,1.00000
SNRNP200,1.00000
SON,1.00000
SOS1,1.00000
SPAG9,1.00000
SPEN,1.00000
SPTAN1,1.00000
SPTB,1.00000
SPTBN1,1.00000
SPTBN4,1.00000
SRCAP,1.00000
SRRM1,1.00000
SRRM2,1.00000
STAG1,1.00000
STAG2,1.00000
STAT3,1.00000
STXBP1,1.00000
SUPT16H,1.00000
SUPT5H,1.00000
SUPT6H,1.00000
SUV420H1,1.00000
SYCP1,1.00000
SYCP2,1.00000
SYMPK,1.00000
